# Constructed from biom file
#OTU ID	A12	A2	A3	A6	A7	C10	C10-MUCUS	C11	C14	C17	C18	C3	C3-MUCUS	M13	M14	M18	N10	N11	N12	N7	V14	V16	V17	X4	X5	X7
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp004792655	14.0	36.0	16.0	108.0	28.0	69.0	24.0	123.0	77.0	50.0	26.0	13.0	0.0	31.0	23.0	42.0	18.0	22.0	23.0	27.0	162.0	302.0	17.0	132.0	160.0	8.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__	0.0	33.0	0.0	0.0	0.0	73.0	0.0	220.0	46.0	665.0	93.0	25.0	0.0	7.0	3.0	16.0	30.0	10.0	0.0	92.0	0.0	0.0	0.0	0.0	231.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__Pelethenecus;s__	0.0	5.0	548.0	4.0	702.0	27.0	0.0	129.0	4.0	33.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	56.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__TWA4;s__TWA4 sp000875945	0.0	8.0	0.0	10.0	0.0	400.0	0.0	1696.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	11.0	17.0	0.0	6.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__Eubacterium_J plexicaudatum	15.0	13.0	0.0	0.0	0.0	481.0	147.0	1781.0	7.0	174.0	19.0	4.0	2.0	64.0	122.0	51.0	140.0	29.0	70.0	20.0	0.0	0.0	0.0	5.0	6.0	0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila_D_776786	0.0	0.0	0.0	0.0	0.0	34.0	0.0	158.0	0.0	113.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	17.0	0.0	402.0	0.0	2.0	460.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Velocimicrobium;s__Velocimicrobium porci	19.0	0.0	0.0	0.0	0.0	418.0	0.0	1562.0	0.0	205.0	13.0	0.0	2.0	23.0	11.0	26.0	0.0	13.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_595427;f__Burkholderiaceae_A_595427;g__Parasutterella;__	0.0	12.0	0.0	0.0	0.0	14.0	0.0	71.0	0.0	150.0	0.0	6.0	0.0	0.0	32.0	0.0	2.0	9.0	6.0	11.0	91.0	453.0	28.0	0.0	207.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Dysosmobacter;s__Dysosmobacter sp000403435	173.0	54.0	0.0	4.0	4.0	171.0	262.0	487.0	152.0	225.0	13.0	5.0	5.0	127.0	90.0	128.0	12.0	166.0	83.0	4.0	0.0	6.0	4.0	21.0	187.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__COE1;__	0.0	0.0	0.0	0.0	0.0	130.0	0.0	447.0	100.0	112.0	0.0	0.0	5.0	100.0	21.0	0.0	0.0	38.0	51.0	16.0	0.0	0.0	0.0	84.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A_871400;__	172.0	21.0	0.0	8.0	2.0	38.0	0.0	133.0	272.0	144.0	86.0	0.0	9.0	171.0	150.0	370.0	25.0	218.0	90.0	0.0	0.0	45.0	0.0	54.0	124.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp011959105	0.0	4.0	0.0	11.0	0.0	0.0	0.0	0.0	3.0	952.0	122.0	10.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	10.0	0.0	0.0	0.0	62.0	6.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A_871400;s__	183.0	60.0	0.0	0.0	0.0	125.0	3.0	376.0	19.0	0.0	5.0	0.0	14.0	83.0	119.0	266.0	0.0	166.0	64.0	0.0	0.0	0.0	0.0	2.0	27.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus intestinalis	64.0	0.0	0.0	0.0	0.0	18.0	145.0	55.0	6.0	0.0	0.0	51.0	3.0	40.0	97.0	96.0	31.0	152.0	19.0	122.0	0.0	0.0	0.0	7.0	6.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__1XD42-69 sp009911505	3.0	0.0	0.0	6.0	0.0	0.0	810.0	6.0	0.0	5.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	6.0	0.0	20.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Evtepia;s__	184.0	0.0	0.0	0.0	0.0	22.0	50.0	63.0	35.0	53.0	0.0	0.0	0.0	85.0	114.0	326.0	0.0	217.0	67.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__Mailhella massiliensis	0.0	0.0	0.0	0.0	0.0	0.0	688.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0	420.0	77.0	0.0	129.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Lawsonibacter;s__Lawsonibacter sp000492175	34.0	18.0	0.0	0.0	0.0	71.0	76.0	293.0	49.0	58.0	0.0	0.0	4.0	28.0	52.0	38.0	0.0	55.0	52.0	10.0	0.0	0.0	0.0	13.0	37.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__MD308;s__	27.0	0.0	0.0	0.0	0.0	47.0	0.0	141.0	21.0	12.0	0.0	0.0	0.0	19.0	0.0	55.0	364.0	87.0	0.0	14.0	0.0	0.0	0.0	0.0	47.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__;s__	121.0	59.0	0.0	0.0	0.0	265.0	777.0	1034.0	160.0	189.0	35.0	0.0	3.0	83.0	38.0	104.0	48.0	79.0	119.0	6.0	0.0	0.0	0.0	35.0	100.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Enterenecus;s__Enterenecus sp004560375	30.0	16.0	0.0	2.0	0.0	110.0	164.0	346.0	41.0	36.0	11.0	9.0	0.0	14.0	6.0	19.0	12.0	15.0	37.0	0.0	0.0	0.0	0.0	15.0	27.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp900547755	55.0	22.0	0.0	0.0	0.0	18.0	34.0	57.0	65.0	69.0	46.0	9.0	0.0	48.0	65.0	103.0	79.0	51.0	13.0	55.0	0.0	8.0	0.0	0.0	87.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Porcincola;s__	4.0	0.0	0.0	0.0	0.0	68.0	0.0	264.0	106.0	22.0	26.0	22.0	0.0	201.0	157.0	19.0	53.0	36.0	279.0	0.0	0.0	0.0	0.0	4.0	23.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__1XD42-69 sp003612565	0.0	0.0	0.0	0.0	0.0	98.0	0.0	331.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp003611805	25.0	28.0	0.0	15.0	29.0	156.0	0.0	632.0	30.0	104.0	0.0	13.0	0.0	16.0	17.0	44.0	208.0	126.0	44.0	22.0	14.0	45.0	0.0	24.0	287.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Lawsonibacter;__	0.0	0.0	0.0	0.0	0.0	14.0	162.0	101.0	37.0	0.0	5.0	6.0	0.0	16.0	0.0	20.0	14.0	28.0	22.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56;s__CAG-56 sp004793585	0.0	8.0	0.0	0.0	0.0	47.0	0.0	92.0	21.0	53.0	9.0	22.0	0.0	13.0	14.0	18.0	43.0	15.0	23.0	0.0	0.0	7.0	0.0	0.0	10.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_H;s__Bacteroides_H rodentium	31.0	13.0	0.0	0.0	0.0	13.0	74.0	13.0	39.0	0.0	5.0	0.0	0.0	0.0	7.0	41.0	8.0	22.0	20.0	0.0	0.0	20.0	0.0	0.0	79.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__	0.0	0.0	0.0	0.0	0.0	92.0	0.0	290.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__	0.0	8.0	0.0	0.0	0.0	14.0	91.0	135.0	16.0	52.0	12.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	30.0	20.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;__	0.0	0.0	0.0	12.0	0.0	69.0	0.0	275.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	10.0	0.0	0.0	0.0	0.0	23.0	15.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403215	11.0	59.0	0.0	0.0	0.0	19.0	0.0	82.0	0.0	30.0	23.0	0.0	0.0	30.0	0.0	39.0	49.0	18.0	13.0	10.0	0.0	0.0	0.0	13.0	36.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__CAG-272;g__Avispirillum;s__Avispirillum sp011957885	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	18.0	55.0	117.0	0.0	60.0	15.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;__	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	33.0	52.0	86.0	0.0	54.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Dysosmobacter;__	0.0	0.0	0.0	0.0	0.0	19.0	0.0	44.0	40.0	0.0	0.0	4.0	0.0	29.0	0.0	34.0	0.0	16.0	36.0	0.0	0.0	32.0	8.0	0.0	77.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia_404257;s__Adlercreutzia mucosicola	0.0	0.0	0.0	0.0	0.0	44.0	109.0	48.0	0.0	0.0	0.0	42.0	0.0	19.0	0.0	24.0	0.0	17.0	13.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;__;__	81.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	38.0	76.0	0.0	59.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;__	0.0	0.0	0.0	0.0	0.0	36.0	0.0	124.0	18.0	0.0	0.0	69.0	0.0	22.0	16.0	0.0	0.0	0.0	7.0	0.0	0.0	7.0	3.0	0.0	4.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus sp000403395	30.0	0.0	0.0	0.0	0.0	27.0	31.0	52.0	14.0	19.0	0.0	2.0	0.0	18.0	12.0	47.0	0.0	34.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum;s__Faecalibaculum rodentium	0.0	0.0	0.0	0.0	0.0	0.0	290.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
