Sample Name Full,% GC,? 30X,Coverage,% Aligned,M Aligned,Error rate,% Assigned,M Assigned,aligned,Sample Name
N9_S9.sort,,,,96.80%,26.7,0.01%,62.80%,20.3,0.968,N9_S9
N9_S9_BAMqc,49%,0.40%,0.0X,,,,,,0,N9_S9_
V1-7_S12.sort,,,,74.20%,22.1,0.17%,19.90%,8.5,0.742,V1-7_S12
V1-7_S12_BAMqc,55%,0.00%,0.0X,,,,,,0,V1-7_S12_
V10-i25_S2.sort,,,,74.40%,20,0.11%,25.60%,9.2,0.744,V10-i25_S2
V10-i25_S2_BAMqc,54%,0.10%,0.0X,,,,,,0,V10-i25_S2_
V11-i11_S6.sort,,,,93.70%,22,0.03%,54.60%,15,0.937,V11-i11_S6
V11-i11_S6_BAMqc,49%,0.30%,0.0X,,,,,,0,V11-i11_S6_
V12-i12_S13.sort,,,,95.00%,23.3,0.03%,60.50%,17,0.95,V12-i12_S13
V12-i12_S13_BAMqc,50%,0.30%,0.0X,,,,,,0,V12-i12_S13_
V13-19_S7.sort,,,,74.30%,24.8,0.13%,21.80%,10.3,0.743,V13-19_S7
V13-19_S7_BAMqc,55%,0.00%,0.0X,,,,,,0,V13-19_S7_
V14-20_S18.sort,,,,73.10%,22.4,0.23%,18.40%,8.3,0.731,V14-20_S18
V14-20_S18_BAMqc,56%,0.00%,0.0X,,,,,,0,V14-20_S18_
V15-21_S14.sort,,,,72.00%,19.9,0.21%,18.70%,7.5,0.72,V15-21_S14
V15-21_S14_BAMqc,56%,0.00%,0.0X,,,,,,0,V15-21_S14_
V16_S1.sort,,,,93.20%,23.2,0.02%,58.00%,16.6,0.932,V16_S1
V16_S1_BAMqc,49%,0.30%,0.0X,,,,,,0,V16_S1_
V17_S2.sort,,,,94.60%,26.9,0.02%,57.10%,18.9,0.946,V17_S2
V17_S2_BAMqc,48%,0.40%,0.0X,,,,,,0,V17_S2_
V18_S3.sort,,,,94.70%,27.4,0.01%,60.50%,20.1,0.947,V18_S3
V18_S3_BAMqc,49%,0.40%,0.0X,,,,,,0,V18_S3_
V2-i10_S14.sort,,,,93.00%,21.3,0.04%,53.20%,14.7,0.93,V2-i10_S14
V2-i10_S14_BAMqc,49%,0.20%,0.0X,,,,,,0,V2-i10_S14_
V3-i22_S4.sort,,,,90.00%,21.6,0.04%,48.70%,14.4,0.9,V3-i22_S4
V3-i22_S4_BAMqc,50%,0.20%,0.0X,,,,,,0,V3-i22_S4_
V4-8_S5.sort,,,,73.50%,17.2,0.20%,19.00%,6.5,0.735,V4-8_S5
V4-8_S5_BAMqc,55%,0.00%,0.0X,,,,,,0,V4-8_S5_
V5-9_S15.sort,,,,73.60%,22.3,0.16%,19.90%,8.6,0.736,V5-9_S15
V5-9_S15_BAMqc,55%,0.00%,0.0X,,,,,,0,V5-9_S15_
V6-i23_S11.sort,,,,96.30%,26.6,0.02%,61.40%,20.1,0.963,V6-i23_S11
V6-i23_S11_BAMqc,49%,0.40%,0.0X,,,,,,0,V6-i23_S11_
V7-10_S16.sort,,,,70.90%,17.5,0.23%,17.60%,6.3,0.709,V7-10_S16
V7-10_S16_BAMqc,56%,0.00%,0.0X,,,,,,0,V7-10_S16_
V8-11_S10.sort,,,,72.90%,19.7,0.22%,18.10%,7.2,0.729,V8-11_S10
V8-11_S10_BAMqc,56%,0.00%,0.0X,,,,,,0,V8-11_S10_
V9-12_S4.sort,,,,73.90%,24.1,0.17%,20.10%,9.4,0.739,V9-12_S4
V9-12_S4_BAMqc,56%,0.00%,0.0X,,,,,,0,V9-12_S4_
X10_S10.sort,,,,94.30%,23.7,0.02%,55.90%,16.4,0.943,X10_S10
X10_S10_BAMqc,49%,0.30%,0.0X,,,,,,0,X10_S10_
X11_S11.sort,,,,95.60%,8.5,0.02%,57.50%,5.9,0.956,X11_S11
X11_S11_BAMqc,49%,0.10%,0.0X,,,,,,0,X11_S11_
X11_S18.sort,,,,95.70%,29.4,0.02%,57.50%,20.4,0.957,X11_S18
X11_S18_BAMqc,49%,0.40%,0.0X,,,,,,0,X11_S18_
